platform,item,suggestions
Amazon_UK,barbie,"['barbie for 2 year old girls', 'barbie for toddler', 'barbie for pool', 'barbie for women', 'barbie for 3 year old', 'barbie for 5 year old girls', 'barbie for 5+ year old girls', 'barbie for 4+ year old girls', 'barbie for 4 year old girls', 'barbie for 6+ year old girls']"
Amazon_UK,baby doll,"['baby doll for boys', 'baby doll for 1 + year old girl', 'baby doll for 1 year old girl', 'baby doll for toddler', 'baby doll for 2 year old', 'baby doll for baby', 'baby doll for 3 year old girl', 'baby doll for 3 + year old girl', 'baby doll for toddlers 1-3', 'baby doll for girls age 7-8 year old']"
Amazon_UK,fashion doll,"['fashion doll for girls', 'fashion doll for toddler', 'fashion doll for boys', 'fashion doll for kids', 'fashion doll for cake', 'fashion doll for a 5 year old girl', 'ily forever disney doll fashion packs', 'illy forever fashion doll', 'illy forever doll fashion packs', 'wakanda forever fashion doll']"
Amazon_UK,tiara,"['tiara for little girls', 'tiara for women', 'tiara for girls', 'tiara for kids', 'tiara for men', 'tiara for bride wedding', 'tiara for toddler girls', 'tiara for girls 4-6', 'tiara for baby girl', 'tiara for toddler']"
Amazon_UK,craft toys,"['craft toys for 2 year old girl', 'craft toys for kids ages 4-8', 'craft toys for kids', 'craft toys for kids 5-7', 'craft toys for girls', 'craft toys for 6 year old girls', 'craft toys for girls 4-6', 'craft toys for girls 8-12', 'craft toys for toddlers', 'craft toys for boys 3-6']"
Amazon_UK,beauty products,"['beauty products for teenage girls', 'beauty products for women', 'beauty products for teens', 'beauty products for kids', 'top beauty products for women 2023', 'beauty products for women makeup', 'beauty products for men', 'beauty products for women face', 'beauty products for young girls', 'beauty products for teen girls']"
Amazon_UK,tea party set,"['tea party set for little girls', 'tea party set for adults', 'tea party set for toddlers 1-3', 'tea party set for boys', 'tea party set for little girls birthday party', 'tea party set for girls 4-6', 'tea party set for girls 8-10', 'tea party set for kids', 'tea party set for girls', 'tea party set for little girls porcelain']"
Amazon_UK,pink doll,"['pink doll for 3 year old', 'pink doll for girls', 'pink doll hair', 'pink doll house', 'pink doll', 'pink fortnite doll']"
Amazon_UK,cupcake maker,"['cupcake maker for kids', 'cupcake maker for kids real cupcake', 'cupcake maker for kids play', 'cupcake maker for girls', 'cupcake makeup for kids']"
Amazon_UK,makeup kit,"['makeup kit for girls 10-12', 'makeup kit for kids', 'makeup kit for women full kit', 'makeup kit for girls', 'makeup kit for teens', 'makeup kit for girls 4-6', 'makeup kit for girls 7-8', 'makeup kit for women', 'makeup kit for teen girls', 'girls makeup kit for kids age 8-12']"
Amazon_UK,fashion dolls,"['fashion dolls for adults', 'fashion dolls for girls', 'fashion dolls for girls 7-12', 'fashion dolls for girls ages 8-12', 'fashion dolls for kids', 'fashion dolls for girls 6-12', 'fashion dolls for 5 year old girls', 'ellie forever fashion dolls', 'ily forever dolls fashion pack', 'ellie forever fashion dolls accessories']"
Amazon_UK,crochet kit,"['crochet kit for beginners', 'crochet kit for beginners kids', 'crochet kit for beginners adults', 'crochet kit for kids', 'crochet kit for beginners animals', 'crochet kit for beginners blanket', 'crochet kit for beginners with book', 'crochet kit for adults', 'crochet kit for beginners woobles', 'crochet kit for hair']"
Amazon_UK,playhouses,"['playhouses for kids', 'playhouses for kids outdoor', 'playhouses for backyard', 'playhouses for toddlers age 2-4', 'playhouses for girls', 'playhouses for boys', 'playhouses for kids indoor', 'playhouses for outside', 'playhouses for kids with slide', 'playhouses for backyard older kids']"
Amazon_UK,princess sword,"['princess sword for girls', 'princess bride sword', 'princess warrior', 'princess sword']"
Amazon_UK,doctors kit,"['doctors kit for kids', 'doctors kit for kids ages 6-8', 'doctors kit for kids ages 9 12', 'doctors kit for 3 year old', 'doctors kit for 2 year old', 'doctors kit for adults', 'doctors kit for boys', 'doctors kit for children', 'doctors kit for adults real', 'doctors kit for toddlers']"
Amazon_UK,skin care kit,"['skin care kit for men', 'skin care kit for teens', 'skin care kit for kids', 'skin care kit for women', 'skin care kit for girls 10-12', 'skin care kit for teen girls', 'skin care kit for oily skin', 'skin care kit for dry skin', 'skin care kit for teen boys', 'skin care kit for teen girls 10-12']"
Amazon_UK,barbie furniture set,[]
Amazon_UK,pink ipad,"['pink ipad for kids', 'pink ipad case', 'pink ipad', 'pink ipad for girls', 'ipad pink', 'pink ipad for sale', 'pink ipad for 8 years old']"
Amazon_UK,toy animals,"['toy animals for toddlers 1-3', 'toy animals for toddlers 3-5', 'toy animals for kids 5-7', 'toy animals for toddlers', 'toy animals for kids', 'toy animals for babies', 'toy animals for 2 year old', 'toy animals for infants', 'toy animals for one year old', 'toy animals for easter eggs']"
Amazon_UK,books,"['books for 1 year old', 'books for 2 year olds', 'books for 5 year olds', 'books for 3 year olds', 'books for 8 year old boys', 'books for 8+ year old boys', 'books for 4 year olds', 'books for babies', 'books for kids', 'books for 10 year old girl']"
Amazon_UK,educational teaching,[]
Amazon_UK,musical games,"['musical games for kids', 'musical games for adults', 'musical games for kids 8-12', 'musical games for kids ages 3-5', 'musical games for babies', 'musical games for the musically minded']"
Amazon_UK,games,"['games for kids 8-12', 'games for kids ages 4-8', 'games for adults', 'games for kids', 'games for family game night', 'games for teens', 'games for 3 year olds', 'games for 3+ year olds', 'games for couples', 'games for kids ages 6-8']"
Amazon_UK,live animals,"['live animals for sale as pets', 'live animals for sale', 'live animals for sale as pets alive', 'live animals for sale as pets alive reptiles', 'live animals for pets', 'live animals for sale rabbits', 'live animals for kids', 'live animals for sale as pets alive hamster', 'live animals for fish tank', 'live animals for sale as pets alive dog']"
Amazon_UK,candy land,"['candy land for kids', 'candy land for toddlers', 'candy land for boys', 'candyland game for kids ages 2-4', 'candy land for adults', 'candy land for teens', 'candy land for girls', 'candyland game for kids', 'candyland game for boys', 'candyland game for kids original']"
Amazon_UK,winnie the pooh,"['winnie the pooh for adults', 'winnie the pooh for toddlers 1-3', 'winnie the pooh for women', 'winnie the pooh for baby', 'winnie the pooh for baby girl', 'winnie the pooh for dogs', 'winnie the pooh for cake', 'winnie the pooh for mom', 'winnie the pooh for crafts', 'winnie the pooh for girls']"
Amazon_UK,karaoke machine,"['karaoke machine for adults', 'karaoke machine for kids', 'karaoke machine for tv', 'karaoke machine for kids age 4-12', 'karaoke machine for adults with lyrics display', 'karaoke machine for girls', 'karaoke machine for adults with lyrics display 2 microphones', 'karaoke machine for adults professional', 'karaoke machine for adults for tv', 'karaoke machine for girls age 5']"
Amazon_UK,elmo,"['elmo fork', 'elmo for girls', 'elmo for babies', 'elmo for toddlers', 'elmo for toddlers 1-3', 'elmo for 1 year old', 'elmo for babies 6-12 mos', 'elmo for babies 0-6 months', 'elmo for adults', 'elmo for classroom']"
Amazon_UK,gardening tools,"['gardening tools for kids', 'gardening tools for women', 'gardening tools for toddlers 1-3', 'gardening tools for kids ages 4-8', 'gardening tools for kids ages 8-12', 'gardening tools for kids ages 2-4', 'gardening tools for men', 'gardening tools for toddlers', 'gardening tools for kids ages 10-12', 'gardening tools for planting']"
Amazon_UK,crayons,"['crayons for kids ages 2-4', 'crayons for toddlers 1-3', 'crayons for kids ages 4-8', 'crayons for toddlers age 1', 'crayons for toddlers', 'crayons for kids', 'crayons for adult coloring', 'crayons for kids ages 8-12', 'crayons for babies', 'crayons for 1+ year old']"
Amazon_UK,doctor kit,"['doctor kit for toddlers 3-5', 'doctor kit for kids', 'doctor kit for kids realistic 9-12', 'doctor kit for kids 5-7', 'doctor kit for toddlers 1-3', 'doctor kit for toddlers', 'doctor kit for toddlers 2 years old', 'doctor kit for kids 3-5', 'doctor kit for kids 6-8', 'doctor kit for adults']"
Amazon_UK,tricycle,"['tricycle for adults', 'tricycle for toddlers age 3-5', 'tricycle for toddlers age 2-5', 'tricycle for toddlers age 1-3', 'tricycle for toddlers age 5-7', 'tricycle for 2 year old', 'tricycle for kids ages 6-12', 'tricycle for kids', 'tricycle for toddlers', 'tricycle for 18 month old boy']"
Amazon_UK,play-doh,"['play-doh for toddlers 1-3', 'play-doh for toddlers', 'play-doh for kids', 'play-doh for kids ages 4-8', 'play-doh for adults', 'play-doh for 1', 'play-doh for goodie bag', 'play-doh for boys', 'play-doh for girls', 'play-doh for kids ages 2-4']"
Amazon_UK,leappad,"['leappad for toddlers', 'leappad for toddlers 1-3', 'leappad for kids', 'leappad for 2 year old', 'leappad for kids ages 3-5']"
Amazon_UK,trampoline,"['trampoline for kids', 'trampoline for kids and adults', 'trampoline for adults', 'trampoline for toddlers 1-3', 'trampoline for kids indoor', 'trampoline for toddlers age 2-5', 'trampoline for toddlers', 'trampoline for kids and adults 14ft', 'trampoline for adults fitness', 'trampoline for kids and adults 16ft']"
Amazon_UK,swingset,"['swingset for toddlers 1-3', 'swingset for older kids', 'swingset for kids', 'swingset for baby', 'swingset for adult', 'swingset for big kids', 'swingset for toddler', 'swingset for kids ages 8-12', 'swingset for backyard', 'swingset for teens']"
Amazon_UK,mr potato head,"['mr potato head for toddlers', 'mr potato head for 1 year old', 'mr potato head for babies', 'mr potato head forky', 'mr potato head for easter', 'mr potato head for adults', 'mr potato head for real potato']"
Amazon_UK,spongebob square pants,[]
Amazon_UK,math flash card,['math flash card for 5 year old plus']
Amazon_UK,wagon,"['wagon for kids', 'wagon for toddlers', 'wagon for beach', 'wagon for groceries', 'wagon for kids with seats', 'wagon for dogs', 'wagon for 2 kids', 'wagon for baby', 'wagon for toddlers 1-3', 'wagon for 1 year old']"
Amazon_UK,bus,"['bus for toddlers 2-4', 'bus for toddlers', 'bus for toddlers 1-3', 'bus for kids', 'bus for kids to drive', 'bus for dolls', 'bus for sale', 'bus fort', 'bus for boys', 'bus for kids to ride']"
Amazon_UK,tree house,"['tree house for cats', 'tree house for backyards', 'tree house for kids', 'tree house for backyards big kids', 'tree house for kids outdoor', 'tree house for teens', 'tree house for tree', 'tree house for plants', 'tree house for indoor plant', 'tree house for backyards adults']"
Amazon_UK,wood blocks,"['wood blocks for crafting', 'wood blocks for carving', 'wood blocks for toddlers 1-3', 'wood blocks for kids ages 4-8', 'wood blocks for crafting 2 inch', 'wood blocks for crafts', 'wood blocks for kids', 'wood blocks for toddlers 3-5', 'wood blocks for painting', 'wood blocks for babies']"
Amazon_UK,harry potter books,"['harry potter books for kids', 'harry potter books for kids 5-7', 'harry potter books for kids 8-12', 'harry potter books for kids 6-8', 'harry potter books for toddlers', 'harry potter books for babies', 'harry potter books for infants', 'harry potter books for younger kids', 'harry potter books for young kids', 'harry potter books for kids ages 4']"
Amazon_UK,legos,"['legos for 7-9year boy', 'legos for adults', 'legos for 5-year-old boy', 'legos for girls', 'legos for 4-year-olds', 'legos for 10-year-old boys', 'legos for 7-9year girl', 'legos for 6-year-old boy', 'legos for toddlers 1-3', 'legos for boys']"
Amazon_UK,scooter,"['scooter for kids ages 6-12', 'scooter for kids ages 3-5', 'scooter for adults', 'scooter for broken foot', 'scooter for kids ages 5-8', 'scooter for kids', 'scooter for toddlers 1-3', 'scooter for kids ages 8-12', 'scooter for kids ages 10-14', 'scooter for 2 year old']"
Amazon_UK,drum set,"['drum set for toddlers 1-3', 'drum set for kids ages 9-12', 'drum set for kids', 'drum set for toddlers 3-5', 'drum set for kids age 5-7', 'drum set for kids age 8-10', 'drum set for kids ages 13-15', 'drum set for toddlers', 'drum set for adults full set', 'drum set for adults']"
Amazon_UK,puzzles,"['puzzles for kids ages 3-5', 'puzzles for adults', 'puzzles for kids ages 4-8', 'puzzles for adults 1000 pieces and up', 'puzzles for toddlers 1-3', 'puzzles for kids ages 8-10', 'puzzles for kids', 'puzzles for adults 500 piece prime', 'puzzles for dogs', 'puzzles for toddlers']"
Amazon_UK,board games,"['board games for adults', 'board games for kids 8-12', 'board games for kids 4-6', 'board games for kids', 'board games for kids 6-8', 'board games for family night', 'board games for teens', 'board games for 3 year olds', 'board games for 3+ year olds', 'board games for 2 players']"
Amazon_UK,rock painting,"['rock painting for kids', 'rock painting for adults kit', 'rock painting for adults', 'rock painting for girls', 'rock painting for toddlers', 'rock painting for kids 4-6', 'rock painting for beginners', 'rock painting for kids 6-12', 'rock painting for toddlers 1-3', 'rock painting for children']"
